timestamp,county,file_number,measure_names,provider_name,measure_values
2020-07-14T103006,ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,836
2020-07-14T103006,ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,210
2020-07-14T103006,ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.200764818
2020-07-14T103006,ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
2020-07-14T103006,ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,357
2020-07-14T103006,ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,67
2020-07-14T103006,ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.158018868
2020-07-14T103006,ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,424
2020-07-14T103006,ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,42
2020-07-14T103006,ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,8
2020-07-14T103006,ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.16
2020-07-14T103006,ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,50
2020-07-14T103006,ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,60
2020-07-14T103006,ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,21
2020-07-14T103006,ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.259259259
2020-07-14T103006,ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
2020-07-14T103006,ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,40
2020-07-14T103006,ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,8
2020-07-14T103006,ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.166666667
2020-07-14T103006,ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
2020-07-14T103006,BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,6
2020-07-14T103006,BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,3
2020-07-14T103006,BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.333333333
2020-07-14T103006,BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,9
2020-07-14T103006,BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,508
2020-07-14T103006,BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,105
2020-07-14T103006,BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.171288744
2020-07-14T103006,BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
2020-07-14T103006,BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,133
2020-07-14T103006,BAY,100026,Available,ASCENSION SACRED HEART BAY,33
2020-07-14T103006,BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.198795181
2020-07-14T103006,BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,166
2020-07-14T103006,BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,172
2020-07-14T103006,BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,59
2020-07-14T103006,BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.255411255
2020-07-14T103006,BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
2020-07-14T103006,BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,53
2020-07-14T103006,BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,33
2020-07-14T103006,BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.383720930
2020-07-14T103006,BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
2020-07-14T103006,BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,43
2020-07-14T103006,BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,13
2020-07-14T103006,BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.232142857
2020-07-14T103006,BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,56
2020-07-14T103006,BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0
2020-07-14T103006,BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0
2020-07-14T103006,BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,NA
2020-07-14T103006,BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0
2020-07-14T103006,BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,412
2020-07-14T103006,BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,100
2020-07-14T103006,BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.1953125
2020-07-14T103006,BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,512
2020-07-14T103006,BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,109
2020-07-14T103006,BREVARD,100028,Available,PARRISH MEDICAL CENTER,44
2020-07-14T103006,BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.287581699
2020-07-14T103006,BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,153
2020-07-14T103006,BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,155
2020-07-14T103006,BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,29
2020-07-14T103006,BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.157608696
2020-07-14T103006,BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,184
